Geneid	/data/users/egraf/RNAseq/5_samtools_sort_2/HER21_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/HER22_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/HER23_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC3_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal3_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC3_sorted.bam
ENSG00000284686	4	9	7	6	4	4	10	46	91	7	14	14
ENSG00000162378	778	1468	896	2684	858	1146	144	641	1053	637	907	890
ENSG00000259818	3	6	2	14	2	2	3	1	3	6	2	7
ENSG00000234318	0	1	0	2	0	0	0	0	0	8	1	0
ENSG00000227485	0	0	0	1	0	0	0	0	0	3	0	0
ENSG00000236646	11	4	8	6	11	6	1	0	1	5	5	2
ENSG00000243725	17	36	15	66	22	19	36	57	90	24	20	19
ENSG00000171872	0	1	0	19	4	7	1	0	3	24	10	9
ENSG00000162407	579	409	449	827	354	478	959	6146	12921	332	644	465
ENSG00000163877	216	438	218	571	230	268	548	854	1139	214	162	157
ENSG00000228929	21	25	36	51	14	32	31	97	67	58	29	40
ENSG00000224570	6	2	5	3	7	8	3	6	8	8	0	10
ENSG00000224980	0	0	1	1	2	0	0	0	0	3	1	0
ENSG00000278967	12	48	12	13	12	15	0	0	3	26	2	5
ENSG00000157184	123	154	174	424	160	166	58	88	97	118	120	132
ENSG00000198815	882	1745	984	1448	616	660	673	2465	3828	564	488	611
ENSG00000134744	940	2057	837	742	477	479	403	1521	1982	613	489	366
ENSG00000233910	0	0	0	0	0	1	0	0	0	8	1	0
ENSG00000287703	0	0	1	4	0	6	0	0	0	15	3	4
ENSG00000283039	0	0	0	3	2	8	0	0	0	16	6	6
ENSG00000229294	1	1	2	7	2	3	0	0	0	6	3	2
ENSG00000236973	7	16	7	5	9	8	2	2	2	4	0	2
ENSG00000277397	0	0	0	0	1	0	0	0	0	3	0	4
ENSG00000162385	100	291	155	584	125	167	476	719	717	187	228	214
ENSG00000275350	0	1	0	2	2	4	0	0	0	2	0	4
ENSG00000123080	52	110	136	446	125	178	73	234	259	393	353	301
ENSG00000285778	1	0	0	0	3	9	0	0	0	28	4	5
ENSG00000233407	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162598	0	0	0	8	3	3	0	1	1	19	5	3
ENSG00000280317	0	0	0	1	1	0	0	0	0	2	2	0
ENSG00000162415	21	5	44	113	86	67	51	138	184	41	19	27
ENSG00000162600	248	732	367	521	321	383	136	217	242	253	156	277
ENSG00000116704	339	726	470	1334	666	535	141	274	529	426	329	364
ENSG00000157193	142	1162	480	576	266	150	41	166	126	368	352	735
ENSG00000116205	126	197	144	448	218	266	50	117	114	232	192	178
ENSG00000233994	13	8	8	34	8	6	2	5	2	14	12	13
ENSG00000227556	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000162607	656	1687	920	2068	733	746	539	1139	1981	2551	850	2296
ENSG00000285954	2	0	2	6	1	5	0	0	0	18	5	6
ENSG00000233333	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000154027	74	19	26	51	83	134	1540	731	922	48	156	34
ENSG00000234108	0	0	1	1	1	0	0	0	0	8	1	1
ENSG00000232676	0	0	0	1	1	0	0	0	0	1	2	1
ENSG00000213579	0	0	1	0	1	1	0	0	0	5	0	4
ENSG00000137960	25	4	16	26	11	24	53	144	179	25	18	6
ENSG00000237852	2	1	6	4	4	1	0	0	0	3	1	2
ENSG00000132855	49	151	57	14	30	32	0	7	3	46	13	15
ENSG00000270549	1	9	0	0	6	3	0	0	0	10	3	3
ENSG00000237163	1	0	0	0	0	1	0	0	0	0	1	0
ENSG00000229636	1	0	1	0	0	2	0	0	0	9	5	1
ENSG00000116675	31	38	61	244	89	72	34	191	255	203	106	76
ENSG00000162433	203	601	799	2299	793	636	680	1784	2349	375	741	455
ENSG00000213625	981	1178	1027	3827	1447	1550	924	2606	3142	1533	1389	904
ENSG00000233664	0	0	0	1	0	2	0	0	0	6	0	4
ENSG00000158966	187	153	93	132	102	188	439	1506	2695	142	190	123
ENSG00000213703	5	19	5	2	4	2	0	0	1	6	5	7
ENSG00000233674	0	6	0	5	1	3	0	0	0	1	1	3
ENSG00000153898	245	91	417	135	38	63	15	88	68	120	55	80
ENSG00000117069	44	763	96	114	40	45	17	104	104	176	118	627
ENSG00000125703	152	258	196	249	122	143	49	139	148	222	126	140
ENSG00000234144	0	1	0	0	0	0	0	0	0	1	1	0
ENSG00000277670	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000227466	10	62	9	5	4	3	0	0	0	38	8	2
ENSG00000230498	2	19	6	21	6	2	0	0	2	21	3	7
ENSG00000162618	268	246	245	347	202	276	854	2748	4806	177	208	184
ENSG00000224493	0	0	3	1	2	0	0	0	0	4	0	1
ENSG00000131233	1	5	0	1	2	2	0	0	1	0	0	0
ENSG00000229225	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225598	1	0	1	0	1	0	0	0	0	2	1	1
ENSG00000137941	150	143	348	197	278	348	56	162	199	229	90	138
ENSG00000286548	20	47	39	10	24	15	9	14	15	55	28	12
ENSG00000066135	239	439	216	501	242	264	140	384	456	278	288	273
ENSG00000272094	0	0	0	0	1	3	0	1	2	7	1	2
ENSG00000228853	1	0	0	1	1	1	0	0	0	1	3	2
ENSG00000284895	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117174	474	856	254	239	290	373	185	663	1224	322	245	194
ENSG00000184313	4	8	1	16	13	12	2	3	9	39	14	21
ENSG00000288543	2	29	6	6	4	1	0	1	2	11	0	8
ENSG00000122420	77	6	35	97	13	86	38	57	142	64	51	120
ENSG00000143013	595	1889	695	866	218	362	1572	2171	2866	897	2505	762
ENSG00000226084	445	471	559	3224	1203	1489	1664	3568	2225	380	911	412
ENSG00000134748	424	767	467	1200	478	519	701	1149	1760	492	500	690
ENSG00000142892	362	616	418	907	304	524	464	957	938	929	390	582
ENSG00000229332	0	0	0	0	1	1	0	0	0	2	0	1
ENSG00000227937	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000229752	0	1	0	1	2	1	0	0	0	1	3	0
ENSG00000233216	0	0	0	3	1	1	0	0	0	4	3	2
ENSG00000197273	1	0	0	1	3	1	0	0	0	8	2	5
ENSG00000226804	0	1	0	1	0	0	0	0	0	1	1	1
ENSG00000230728	1	0	0	1	6	5	0	0	0	0	2	6
ENSG00000232846	5	10	4	6	4	1	1	0	0	5	4	1
ENSG00000230787	0	2	0	2	2	1	0	5	1	7	7	2
ENSG00000116641	995	3327	1195	1533	884	917	463	1329	1738	1572	913	1054
ENSG00000172260	81	6	51	136	149	228	83	418	478	57	88	116
ENSG00000285473	0	1	0	0	0	2	0	0	0	2	0	1
ENSG00000234578	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229505	1	0	0	2	2	1	0	0	0	3	0	0
ENSG00000228187	1	4	5	1	3	4	0	1	0	3	1	1
ENSG00000182183	32	8	13	13	10	14	0	0	6	26	16	13
ENSG00000236407	0	0	0	0	0	2	0	0	0	5	2	2
ENSG00000271949	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227062	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000067334	372	787	519	611	511	520	3118	3540	6757	731	485	606
ENSG00000235011	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213559	1	0	1	0	0	3	0	0	0	7	3	2
ENSG00000287587	0	0	0	7	1	2	0	1	0	6	0	5
ENSG00000142949	4387	6749	3908	12405	5472	6568	4468	7353	8251	3106	6639	6951
ENSG00000232882	17	13	15	19	10	17	11	24	35	15	13	16
ENSG00000171502	124	171	85	87	49	59	2	22	14	51	45	43
ENSG00000116157	62	112	80	455	63	54	67	303	108	59	286	90
ENSG00000143036	71	108	116	201	88	147	224	222	273	215	69	279
ENSG00000065243	1044	1599	1326	1678	1164	1274	483	2090	2990	1494	1010	1091
ENSG00000226960	0	2	0	0	1	0	0	0	0	1	1	0
ENSG00000234080	0	0	0	2	4	3	0	0	2	1	4	2
ENSG00000285409	0	0	1	0	1	1	0	0	0	6	0	1
ENSG00000117528	815	1993	1260	3314	1088	1717	723	1515	2390	1261	878	874
ENSG00000271723	1	1	0	3	4	1	1	3	1	1	3	2
ENSG00000036549	770	1921	1019	880	694	806	530	1523	1812	1410	664	634
ENSG00000225191	1	0	0	0	1	2	0	0	0	5	2	1
ENSG00000287870	0	0	0	2	0	0	0	0	2	7	3	1
ENSG00000232048	0	0	0	3	2	1	0	1	0	10	3	0
ENSG00000232857	2	1	1	0	1	1	0	0	0	3	2	1
ENSG00000273637	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228838	0	3	2	2	1	3	0	0	0	8	4	8
ENSG00000283761	17	32	19	11	12	10	10	23	21	20	13	15
ENSG00000189433	0	5	1	2	0	4	1	6	10	4	3	7
ENSG00000142700	0	3	2	4	0	2	1	0	0	6	0	5
ENSG00000233514	0	3	1	5	1	2	0	1	1	4	4	2
ENSG00000127124	292	285	190	321	403	236	220	810	1319	370	129	109
ENSG00000266993	24	49	29	28	26	25	5	30	23	13	8	9
ENSG00000229316	0	0	0	1	1	2	0	0	0	1	0	0
ENSG00000234099	1	5	0	2	0	1	0	0	0	3	0	0
ENSG00000137936	134	275	238	457	319	327	518	1112	2414	165	140	310
ENSG00000232752	1	2	0	1	2	1	0	0	0	2	0	3
ENSG00000235829	4	2	3	0	2	2	1	0	1	2	1	4
ENSG00000143032	1	0	0	3	13	65	1	0	1	5	2	2
ENSG00000280040	0	0	1	0	1	0	0	1	0	2	0	1
ENSG00000117519	1034	1613	952	1743	1264	1020	5817	15296	16349	1616	2703	2120
ENSG00000238037	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000134215	1129	1141	2327	2906	1467	1572	1179	1921	1579	1214	1017	157
ENSG00000227935	0	0	0	0	0	0	0	0	0	2	1	0
ENSG00000228502	27	25	18	93	24	32	56	121	46	25	27	11
ENSG00000271277	37	1	0	0	0	0	0	0	0	3	1	0
ENSG00000236888	0	0	0	1	1	1	0	1	0	7	0	0
ENSG00000230828	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000152078	60	144	214	170	159	84	55	165	208	133	79	101
ENSG00000171492	324	1296	434	542	291	289	147	403	470	856	536	597
ENSG00000233129	0	1	0	0	0	1	0	0	0	3	2	0
ENSG00000170989	411	91	225	594	205	361	752	5757	10663	239	329	301
ENSG00000237897	1	0	0	1	0	0	0	1	0	2	0	0
ENSG00000116299	1578	958	2403	8223	4097	3054	5952	10449	8923	486	669	745
ENSG00000137962	2134	2413	3019	3847	970	1608	1475	5344	8008	1646	1675	3920
ENSG00000286692	0	0	1	1	5	1	0	0	0	1	1	3
ENSG00000260464	6	3	1	12	15	10	6	12	7	9	9	8
ENSG00000231996	0	1	1	0	0	1	0	0	0	1	2	0
ENSG00000117154	18	9	4	35	20	18	11	30	53	25	21	12
ENSG00000162377	133	387	109	988	232	325	148	393	530	408	370	458
ENSG00000116774	148	29	72	202	117	172	483	2611	2377	115	176	122
ENSG00000287756	4	4	0	0	2	3	0	0	2	9	0	1
ENSG00000284652	1	1	0	5	7	10	1	4	3	11	6	2
ENSG00000023909	146	432	226	797	406	447	328	530	1090	692	404	712
ENSG00000069702	619	658	199	3610	211	543	916	4382	6849	1842	682	241
ENSG00000228399	2	0	0	1	0	1	2	1	0	2	0	0
ENSG00000236776	6	25	13	4	1	6	1	3	4	0	1	4
ENSG00000271252	0	0	0	1	2	0	0	0	1	3	0	0
ENSG00000235794	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000233983	0	0	0	2	1	0	0	0	0	4	0	1
ENSG00000198198	706	961	658	922	566	585	291	714	639	477	423	332
ENSG00000116793	240	235	291	305	264	180	100	300	316	209	106	135
ENSG00000232918	0	0	0	0	1	0	0	0	0	2	0	0
ENSG00000183298	14	51	15	18	7	4	49	81	34	9	7	14
ENSG00000117525	236	158	87	416	75	177	623	1921	2520	112	214	174
ENSG00000162699	63	2	0	0	0	0	0	0	0	3	0	5
ENSG00000203914	13	31	18	44	13	17	5	7	10	26	21	18
ENSG00000270457	0	1	0	0	0	0	0	0	5	0	0	2
ENSG00000231987	0	0	0	0	1	3	0	0	0	6	0	0
ENSG00000229842	0	1	1	3	0	5	0	0	0	5	1	0
ENSG00000198162	1121	1528	1637	2447	980	1170	293	1419	2061	1421	1153	1119
ENSG00000171517	12	66	5	82	5	9	45	451	102	45	62	171
ENSG00000203864	0	0	1	0	1	0	0	0	0	6	0	3
ENSG00000233482	0	0	0	0	2	0	1	0	0	2	1	1
ENSG00000143079	391	572	318	656	293	398	308	2797	3992	497	589	650
ENSG00000232450	7	3	14	3	12	9	16	11	15	13	1	4
ENSG00000235038	0	0	0	0	4	5	0	0	0	8	1	1
ENSG00000173947	30	7	12	113	117	44	69	85	149	25	35	22
ENSG00000134198	101	53	41	117	48	83	29	100	162	68	193	263
ENSG00000279513	12	17	13	3	10	11	1	0	1	9	6	0
ENSG00000117620	552	754	609	673	1011	1631	170	553	641	666	294	533
ENSG00000162688	822	661	684	223	6785	5161	226	718	887	642	648	321
ENSG00000197106	5	8	53	36	28	21	3	7	16	180	100	130
ENSG00000231072	0	0	0	4	3	4	0	0	0	12	1	0
ENSG00000185946	383	416	356	238	363	304	113	360	221	229	175	192
ENSG00000162627	106	145	145	748	317	247	180	349	301	408	272	235
ENSG00000265808	792	2279	1153	2822	768	803	711	1499	2192	1044	992	919
ENSG00000225923	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000134247	1136	899	1136	2049	1152	1470	448	2517	3224	930	2028	1605
ENSG00000162664	519	1217	696	483	744	955	637	1029	1617	1024	353	436
ENSG00000134253	66	97	37	227	204	197	148	209	212	135	132	46
ENSG00000223416	1	0	0	4	1	1	2	1	0	7	0	5
ENSG00000179571	1	1	0	1	2	5	0	0	0	19	1	15
ENSG00000227850	5	20	2	45	6	10	5	8	9	5	9	9
ENSG00000285532	1	10	3	1	6	3	0	0	0	2	3	1
ENSG00000226755	0	0	0	1	0	1	1	0	0	2	1	1
ENSG00000183508	1557	3170	4179	2049	449	794	750	897	1048	807	728	4335
ENSG00000277095	0	1	0	1	4	1	0	0	0	3	0	1
ENSG00000264145	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000238256	0	2	2	1	3	0	0	0	0	0	0	1
ENSG00000198765	0	0	0	3	4	3	0	0	1	16	11	7
ENSG00000143398	604	1697	606	1756	521	577	1971	4517	5355	1115	749	1151
ENSG00000196505	859	1173	945	1499	765	727	198	373	646	617	460	461
ENSG00000223489	1	0	0	1	4	2	0	0	0	11	9	1
ENSG00000230546	0	0	0	0	0	0	0	0	0	1	2	0
ENSG00000213262	4	5	13	0	3	1	0	0	0	7	0	4
ENSG00000287015	0	0	1	1	0	1	1	1	0	4	3	1
ENSG00000235526	0	1	6	2	0	0	0	0	0	4	2	1
ENSG00000228347	0	1	0	3	2	2	0	0	0	2	0	2
ENSG00000236012	0	0	0	0	0	0	0	1	0	1	1	0
ENSG00000134200	2	0	2	2	1	2	0	0	1	2	0	0
ENSG00000065183	555	1664	593	1657	512	499	663	1276	2433	776	793	682
ENSG00000226126	0	0	0	1	0	2	0	0	0	4	0	1
ENSG00000163156	53	122	63	471	168	166	178	267	245	362	199	283
ENSG00000228453	0	6	2	3	1	1	0	0	0	1	2	1
ENSG00000261168	2	2	2	7	4	2	3	4	4	6	3	1
ENSG00000233432	1	1	0	3	1	3	1	2	0	8	2	1
ENSG00000229911	0	0	0	0	2	3	0	0	0	6	2	1
ENSG00000171943	104	77	53	127	94	115	35	197	286	73	62	50
ENSG00000270719	4	0	4	0	1	0	0	0	0	1	2	0
ENSG00000155761	21	24	68	15	74	30	22	43	39	56	16	27
ENSG00000116830	384	1420	429	877	368	321	109	431	389	569	347	281
ENSG00000234422	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227091	0	0	0	1	1	2	0	0	0	9	3	0
ENSG00000081026	741	1072	1013	1743	870	1195	398	787	1142	676	501	868
ENSG00000143458	215	400	257	623	426	508	168	334	496	454	347	396
ENSG00000230932	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225036	0	0	0	0	2	1	0	0	0	2	0	0
ENSG00000250890	2	0	0	0	1	2	0	0	0	0	0	1
ENSG00000232240	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000234388	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233717	0	0	0	2	1	2	0	0	1	2	0	0
ENSG00000163155	57	145	74	291	99	125	39	126	143	140	108	158
ENSG00000241975	19	24	22	11	11	23	4	8	6	17	6	2
